,S.No,Name,,Imdb,Twitter,Instagram,Fb,,
,117,Akshara Haasan,Film Actress,https://pro.imdb.com/name/nm7432227,https://twitter.com/aksharaHassan,https://www.instagram.com/aksharaa.haasan/,https://www.facebook.com/AksharaHaasan,,
,118,Aishwarya Rai Bachchan,Film Actress,https://pro.imdb.com/name/nm0706787,https://twitter.com/_aishwaryarai,https://www.instagram.com/aishwaryaraibachchan_arb/,https://www.facebook.com/AishwariyaRaiBachchan,,
,119,Mallika Sherawat,Film Actress,https://pro.imdb.com/name/nm1324246,https://twitter.com/mallikasherawat,https://www.instagram.com/mallikasherawat/,https://www.facebook.com/MallikaSherawat,,
,120,Amyra Dastur,Film Actress,https://pro.imdb.com/name/nm5711339,https://twitter.com/AmyraDastur93,https://www.instagram.com/amyradastur93/,https://www.facebook.com/AmyraDastur.JKT,,
,121,Daisy Shah,Film Actress,https://pro.imdb.com/name/nm2207567,https://twitter.com/ShahDaisy25,https://www.instagram.com/shahdaisy/,https://www.facebook.com/ShahDaisyOfficial,,
,122,Kangana Ranaut,Film Actress,https://pro.imdb.com/name/nm2144007,https://twitter.com/KanganRanaut,https://www.instagram.com/team_kangana_ranaut/,https://www.facebook.com/pg/TeamKanganaRanautOfficial,,
,123,Radhika Apte,Film Actress,https://pro.imdb.com/name/nm2331000,https://twitter.com/radhika_apte,https://www.instagram.com/radhikaapte_/,https://www.facebook.com/Radapte,,
,124,Kareena Kapoor Khan,Film Actress,https://pro.imdb.com/name/nm0004626,https://twitter.com/KareenaMania,https://www.instagram.com/kareenamania/,https://www.facebook.com/OfficialPageKareenaKapoor,,
,125,Bhumi Pednekar,Film Actress,https://pro.imdb.com/name/nm6277267,https://twitter.com/psbhumi,https://www.instagram.com/psbhumi/,https://www.facebook.com/BhumiPednekarOfficial,,
,126,Kalki Koechlin,Film Actress,https://pro.imdb.com/name/nm3202701,https://twitter.com/kalkikanmani,https://www.instagram.com/kalkikoechlin/,https://www.facebook.com/KalkiKoechin,,
,127,Diana Penty,Film Actress,https://pro.imdb.com/name/nm5069465,https://twitter.com/DianaPenty,https://www.instagram.com/dianapenty/,https://www.facebook.com/DianaPenty,,
,128,Zareen Khan,Film Actress,https://pro.imdb.com/name/nm3768934,https://twitter.com/zareen_khan,https://www.instagram.com/zareenkhan/,https://www.facebook.com/ZareenKhanOfficial,,
,129,Aditi Rao Hydari,Film Actress,https://pro.imdb.com/name/nm2390814,https://twitter.com/aditiraohydari,https://www.instagram.com/aditiraohydari/,https://www.facebook.com/AditiRaoHydari,,
,130,Kiara Advani,Film Actress,https://pro.imdb.com/name/nm6442009,https://twitter.com/Advani_Kiara,https://www.instagram.com/kiaraaliaadvani/,https://www.facebook.com/KiaraAdvani,,
,131,Neha Sharma,Film Actress,https://pro.imdb.com/name/nm2777281,https://twitter.com/Officialneha,https://www.instagram.com/nehasharmaofficial/,https://www.facebook.com/pg/officialneha,,
,132,Sonali Bendre,Film Actress,https://pro.imdb.com/name/nm0007114,https://twitter.com/iamsonalibendre,https://www.instagram.com/iamsonalibendre/,https://www.facebook.com/IAmSonaliBendre,,
,133,Shriya Saran,Film Actress,https://pro.imdb.com/name/nm1328152,https://twitter.com/shriya1109,https://www.instagram.com/shriya_saran1109/,https://www.facebook.com/ShriyaSaran,,
,134,Chitrangda Singh,Film Actress,https://pro.imdb.com/name/nm1696711,https://twitter.com/IChitrangda,https://www.instagram.com/iamchitrangda/,https://www.facebook.com/ChitrangdaSinghOfficial,,
,135,Malaika Arora Khan,Film Actress,https://pro.imdb.com/name/nm0037019,https://twitter.com/malaikarorakhan,https://www.instagram.com/malaikaarorakhanofficial/,https://www.facebook.com/MalaikaAroraKhanFans,,
,136,Kriti kharbanda,Film Actress,https://pro.imdb.com/name/nm3713653,https://twitter.com/kriti_official,https://www.instagram.com/kriti.kharbanda/,https://www.facebook.com/KritiOfficial,,
,137,Esha Gupta,Film Actress,https://pro.imdb.com/name/nm3373271,https://twitter.com/eshagupta2811,https://www.instagram.com/egupta/,https://www.facebook.com/EshaGuptaOfficial,,
,138,Urvashi Rautela,Film Actress,https://pro.imdb.com/name/nm5856898,https://twitter.com/urvashimrautela,https://www.instagram.com/urvashirautela/,https://www.facebook.com/ImUrvashiRautela,,
,139,Lisa Haydon,Film Actress,https://pro.imdb.com/name/nm3629863,https://twitter.com/HaydonLisa,https://www.instagram.com/lisahaydon/,https://www.facebook.com/LisaHaydonOfficial,,
,140,Surveen Chawla,Film Actress,https://pro.imdb.com/name/nm4015689,https://twitter.com/SurveenChawla,https://www.instagram.com/surveenchawla/,https://www.facebook.com/SurveenChawla,,
,141,Rhea Chakraborty,Film Actress,https://pro.imdb.com/name/nm5599013,https://twitter.com/Tweet2Rhea,https://www.instagram.com/rhea_chakraborty/,https://www.facebook.com/RheaChakrabortyOfficial,,
,142,Pooja Bhat,Film Actress,https://pro.imdb.com/name/nm0080324,https://twitter.com/poojab1972,NA,https://www.facebook.com/PoojaBhattOfficial,,
,143,Rani Mukerji,Film Actress,https://pro.imdb.com/name/nm0611552,NA,https://www.instagram.com/ranimukerji_official/,https://www.facebook.com/RANIMUKERJl,,
,,,,,,,,,
,1,AR Murugadoss,Director,https://pro.imdb.com/name/nm1436693,https://twitter.com/armurugadoss,https://www.instagram.com/a.r.murugadoss,https://www.facebook.com/OfficialARMurugadoss,,
,2,Abbas Alibhai Burmawalla,Director,https://pro.imdb.com/name/nm0122216,,,,,
,3,Mastan Alibhai Burmawalla,Director,https://pro.imdb.com/name/nm0122217,https://twitter.com/theabbasmustan,NA,https://www.facebook.com/TheAbbasMustan/,,
,4,Abhishek Kapoor,Director,https://pro.imdb.com/name/nm0438461,http://www.twitter.com/abhishekapoor,http://www.instagram.com/gattukapoor,https://www.facebook.com/kapoorabhishek,,
,5,Anurag Basu,Director,https://pro.imdb.com/name/nm1397301,https://twitter.com/basuanurag,NA,https://www.facebook.com/BasuAnurag/,,
,6,Anurag Kashyap,Director,https://pro.imdb.com/name/nm0440604,http://www.twitter.com/anuragkashyap72,https://www.instagram.com/anuragkashyap10/,http://www.facebook.com/URTrapped,,
,7,Ashutosh Gowariker,Director,https://pro.imdb.com/name/nm0332950,http://www.twitter.com/ashgowariker,NA,NA,,
